Suit_1,Suit_2,Suit_3,Suit_4,Pr_suit_1,Pr_suit_2,Pr_suit_3,Pr_suit_4,Pr_10_1,Pr_10_2,Pr_10_3,Pr_10_4
3.0,3.0,2.0,2.0,0.289,0.289,0.211,0.211,0.727,0.727,0.6,0.6
3.0,3.0,2.0,3.0,0.269,0.269,0.269,0.194,0.7,0.7,0.6,0.667
3.0,3.0,3.0,0.0,0.295,0.295,0.116,0.295,0.759,0.759,0.667,0.483
3.0,3.0,3.0,1.0,0.283,0.283,0.15,0.283,0.731,0.731,0.667,0.538
3.0,3.0,3.0,2.0,0.269,0.269,0.194,0.269,0.7,0.7,0.667,0.6
3.0,3.0,3.0,3.0,0.25,0.25,0.25,0.25,0.667,0.667,0.667,0.667
4.0,0.0,0.0,0.0,0.166,0.503,0.166,0.166,0.857,0.667,0.571,0.571
4.0,0.0,0.0,1.0,0.156,0.483,0.205,0.156,0.844,0.643,0.571,0.625
4.0,0.0,0.0,2.0,0.145,0.457,0.253,0.145,0.83,0.619,0.571,0.682
4.0,0.0,0.0,3.0,0.131,0.425,0.312,0.131,0.815,0.595,0.571,0.741
4.0,0.0,0.0,4.0,0.116,0.384,0.384,0.116,0.8,0.571,0.571,0.8
4.0,0.0,1.0,0.0,0.156,0.483,0.156,0.205,0.844,0.643,0.625,0.571
4.0,0.0,1.0,1.0,0.147,0.465,0.194,0.194,0.828,0.615,0.625,0.625
4.0,0.0,1.0,2.0,0.136,0.441,0.242,0.181,0.81,0.587,0.625,0.682
4.0,0.0,1.0,3.0,0.123,0.411,0.301,0.166,0.792,0.559,0.625,0.741
4.0,0.0,1.0,4.0,0.108,0.372,0.372,0.148,0.773,0.531,0.625,0.8
4.0,0.0,2.0,0.0,0.145,0.457,0.145,0.253,0.83,0.619,0.682,0.571
4.0,0.0,2.0,1.0,0.136,0.441,0.181,0.242,0.81,0.587,0.682,0.625
4.0,0.0,2.0,2.0,0.125,0.42,0.228,0.228,0.789,0.554,0.682,0.682
4.0,0.0,2.0,3.0,0.113,0.392,0.285,0.21,0.766,0.521,0.682,0.741
4.0,0.0,2.0,4.0,0.1,0.356,0.356,0.189,0.741,0.489,0.682,0.8
4.0,0.0,3.0,0.0,0.131,0.425,0.131,0.312,0.815,0.595,0.741,0.571
4.0,0.0,3.0,1.0,0.123,0.411,0.166,0.301,0.792,0.559,0.741,0.625
4.0,0.0,3.0,2.0,0.113,0.392,0.21,0.285,0.766,0.521,0.741,0.682
4.0,0.0,3.0,3.0,0.102,0.367,0.266,0.266,0.737,0.483,0.741,0.741
4.0,0.0,3.0,4.0,0.089,0.335,0.335,0.241,0.706,0.444,0.741,0.8
4.0,0.0,4.0,0.0,0.116,0.384,0.116,0.384,0.8,0.571,0.8,0.571
4.0,0.0,4.0,1.0,0.108,0.372,0.148,0.372,0.773,0.531,0.8,0.625
4.0,0.0,4.0,2.0,0.1,0.356,0.189,0.356,0.741,0.489,0.8,0.682
4.0,0.0,4.0,3.0,0.089,0.335,0.241,0.335,0.706,0.444,0.8,0.741
4.0,0.0,4.0,4.0,0.078,0.307,0.307,0.307,0.667,0.4,0.8,0.8
4.0,1.0,0.0,0.0,0.205,0.483,0.156,0.156,0.857,0.714,0.531,0.531
4.0,1.0,0.0,1.0,0.194,0.465,0.194,0.147,0.844,0.692,0.531,0.586
4.0,1.0,0.0,2.0,0.181,0.441,0.242,0.136,0.83,0.67,0.531,0.646
4.0,1.0,0.0,3.0,0.166,0.411,0.301,0.123,0.815,0.647,0.531,0.708
